serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2011-02898,"2010 International Conference on Mechanic Automation and Control Engineering : (MACE 2010) : June 26-28, 2010, Wuhan, China : proceedings",,English,,,The World Academic Publishing Company Limited,,,,,,,,,,,Hong Kong,2010,210 p. : ill. ; 29 cm.,$30.00,
2011-02666,2010 manpower survey report : mass communication industry,大眾傳播業二０一０年人力調查報告,English,,,"Vocational Training Council, Mass Communications Training Board",,,,,,,,,,,Hong Kong,2011,"iv, 307 p. : charts ; 30 cm.",Text in Chinese and English. Unpriced,
2011-01389,2011 official guide to ICT industry in Hong Kong,香港通訊業概覽,English,,,Communications Association of Hong Kong,978-988-98162-5-4,,,$,300.00,,,,,,Hong Kong,2010,"174 p. : col. ill., charts ; 29 cm.",Text in Chinese and English,
2011-02402,"21ST century combined science (chemistry part) supplementary exercises. 3B, Chemical reactions and energy",,English,L.H.M. Chung,,Jing Kung Educational Press,978-988-217-302-6,,pbk.,$,50.00,,,,,,Hong Kong,2010,"69 p. : ill., charts ; 28 cm.",,
2011-03044,The 2ND VLA seminar “New developments in jacked piling”,,English,,edited by Victor Li,Centre for Research & Professional Development,978-988-99028-5-8,,pbk.,,Unpriced,,,,,,Hong Kong,2011,116 p. : ill. ; 26 cm.,Includes bibliographical references,
2011-01119,"The 7TH World Congress on Conductive Education, Hong Kong : the Hong Kong Convention and Exhibition Centre, 5-8 December 2010 : East meets West, adaptation and development",第七屆世界引導式教育會議:東西匯聚:發展與適應,English,,,The Spastics Association of Hong Kong,978-962-8890-28-6,,pbk.,,Free,,,,,,Hong Kong,2010,"ii, 434 p. ; 21 cm.",(Conductive education occasional papers ; supplement 7) Text in simplified Chinese and English,
2011-00577,ACT.LIVE : Hong Kong International Poster Triennial 2010,當下.活在:香港國際海報三年展2010,English,,"edited by Apo, Pui Shan Wu ...[et al.]",Leisure and Cultural Services Department. Hong Kong Heritage Museum,978-962-7213-68-0,,pbk.,$,270.00,,,,,,Hong Kong,2010,386 p. : col. ill. ; 30 cm.,Text in Chinese and English,
2011-00587,An A-Z of Hong Kong horse racing,,English,Heather Adams,,Bonham Media Limited,978-988-19711-1-1,,pbk.,$,158.00,,,,,,Hong Kong,2010,"187 p. : col. ill., ports ; 21 cm.",,
2011-01024,Friends,,English,"ALESSIO, Faith",by Faith Alessio ; illustrated by Joseph Alessio,BrillKids International Limited,978-988-18678-3-4,,pbk.,USD,10.00,,,,,,Hong Kong,2009,49 p. : col. ill. ; 21 x 29 cm.,Little reader storybook series,
2011-01123,"Ama Ama, soul searching",萱寧.尋找靈魂,English,Ama,,Anything & Everything Limited,978-988-19020-5-4,,pbk.,$,150.00,,,,,,Hong Kong,2011,229 p. : ill. (some col.) ; 22 cm.,Text in Chinese and English,
2011-02647,"AMES, Roger T. Confucian role ethics : a vocabulary",,English,Roger T. Ames,,The Chinese University Press,978-962-996-451-1,,,$,250.00,,,,,,Hong Kong,2011,"xvii, 332 p. : ill. ; 24 cm.",(Ch’ien Mu lecture series) Includes bibliographical references and index Text partially in Chinese,
2011-00680,"ANEW senior secondary physics in life : integrated exercise, For modular version only",,English,,,Pearson Education Asia Limited,978-988-00-3812-9,,pbk.,,Unpriced,,,,,,Hong Kong,2009,"26 p. : col. ill., charts ; 26 cm.",,
,ASIA literary review. No. 18,,English,,edited by Stephen McCarty,Winter 2010,,,,,,,,,,,,,"Hong Kong : Print Work Limited, c2010",,
2011-01985,ASIA Pacific & UAE in-house handbook : the essential in-house resource,,English,,edited by Anthony Richardson,Pacific Business Press Limited,978-962-86990-7-0,,pbk.,,Unpriced,,,,,,Hong Kong,2011,"255 p. : col. ill., col. ports. ; 26 cm.",,2011 ed.
2011-00266,ASIA-PACIFIC design. No. 6,亞太設計年鑒,English,,edited by Shaoqiang Wang,Sandu Publishing Company Limited,978-988-19018-9-7,,,,Unpriced,,,,,,Hong Kong,2010,"464 p. : ill. (chiefly col.), ports ; 29 cm.",Includes index Text in Chinese and English,
2011-01116,ASIAN proverbs : ancient wisdom for the 21st century,,English,,,FormAsia Books Limited,978-988-98270-6-9,,,$,220.00,,,,,,Hong Kong,2011,186 p. : col. ill. ; 21 cm.,,
2011-01122,ASIAN-COUNSEL in-house handbook,,English,,edited by Rebecca Brookes,Pacific Business Press Limited,978-962-86990-6-3,,pbk.,,Unpriced,,,,,,Hong Kong,2010,170 p. : ill. ; 26 cm.,,
2011-00725,Fantasy & reality,,English,Christy Au,,Hong Kong : Characters Publications Ltd 2010,978-988-8043-15-6,,pbk.,$,49.00,,,,,,,,128 p. : ill. ; 20 cm.,,
