serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2014-00086,200 dishes to try before moving to Mars,,English,,edited by Wilson Fok ... [et al.],Foodwise Company Limited,978-988-98725-9-5,,pbk.,$,128.00,,,,,,Hong Kong,2013,"302 p. : col. ill., col. port ; 21 cm.",,
2014-00780,2012 manpower survey report : maritime services industry,海事服務業2012年人力調查報告書,English,,,Vocational Training Council,,,,,,,,,,,Hong Kong,2014,150 p. : charts ; 30 cm.,Text in Chinese and English Unpriced (pbk.),
2014-00781,2012 manpower survey report : metals industry,金屬業2012年人力調查報告書,English,,,Vocational Training Council,,,,,,,,,,,Hong Kong,2014,"iv, 162 p. : charts ; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2014-00783,2012 manpower survey report : retail trade,零售業2012年人力調查報告書,English,,,Vocational Training Council,,,,,,,,,,,Hong Kong,2013,"ii, 149 p. : charts ; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2014-00782,2012 manpower survey report : transport logistics industry,物流貨運業2012年人力調查報告書,English,,,Vocational Training Council,,,,,,,,,,,Hong Kong,2013,229 p. : charts ; 30 cm.,Text in Chinese and English Unpriced (pbk.),
2014-02144,2013 manpower survey report : electrical and mechanical services industry,機電工程業2013年人力調查報告書,English,,,Vocational Training Council. Electrical and Mechanical Services Training Board,,,,,,,,,,,Hong Kong,2014,"vi, 212 p. : charts ; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2014-00772,2014 home journal buyer’s guide,美好家居指南,English,,,Edipresse Hong Kong Limited,,,,,,,,,,,Hong Kong,2013,208 p. : col. ill. ; 30 cm.,Includes index Text in Chinese and English $48.00 (pbk.),
2014-01532,28TH Asian International Art Exhibition,第二十八屆亞洲國際美術展覽會,English,,,Artrend Investment Limited,978-962-8211-53-1,,pbk.,,Unpriced,,,,,,Hong Kong,2014,20 p. : col. ill. ; 30 cm.,Text partially in Chinese,
2014-01655,"5** Geography script analysis : 2013 mock examination, Hong Kong Convention and Exhibition Centre",,English,,by J. Yeung,Cup Magazine Publishing Limited,978-988-16381-5-1,,pbk.,$,88.00,,,,,,Hong Kong,2014,"215 p. : ill. (some col.), charts ; 28 cm.",,
2014-01414,ABERDEEN KAI-FONG WELFARE ASSOCIATION SOCIAL SERVICE Aberdeen Kai-fong Welfare Association Social Service annual report 2012-2013,香港仔坊會社會服務年報2012-2013,English,,,Aberdeen Kai-fong Welfare Association Social Service,,,,,,,,,,,Hong Kong,2014,56 p. : col. ill. ; 30 cm.,Text in Chinese and English Unpriced (pbk.),
2014-01496,ALCO HOLDINGS LIMITED Alco Holdings Limited interim report 2013,Alco Holdings Limited二零一三年中期報告,English,,,Alco Holdings Limited,,,,,,,,,,,Hong Kong,2013,"24, 24 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-02170,Hong Kong annotated statutes : Mediation Ordinance (Cap 620),,English,Nadja Alexander,,CCH Hong Kong Limited,978-988-12215-1-3,,,$,580.00,,,,,,Hong Kong,2013,"xliii, 168 p. ; 24 cm.",Legal series ; 1969H,
2014-01803,Personal Data (privacy) (amendment) Ordinance (Cap. 486) : guidance and legislation,,English,David Allison,,Thomson Reuters Hong Kong Limited,978-962-661-576-8,,pbk.,$,900.00,,,,,,Hong Kong,2013,"xvi, 228 p. ; 24 cm.",(Hong Kong practice series) Text partially in Chinese,
2014-01802,Trade Descriptions (unfair trade practices) (amendment) Ordinance (Cap. 362) : guidance and legislation,,English,David Allison,,Thomson Reuters Hong Kong Limited,978-962-661-603-1,,pbk.,$,900.00,,,,,,Hong Kong,2013,"x, 176 p. ; 24 cm.",(Hong Kong practice series) Text partially in Chinese,
2014-01158,AMS PUBLIC TRANSPORT HOLDINGS LIMITED AMS Public Transport Holdings Limited interim report 2013/14,進智公共交通控股有限公司中期報告書2013,English,14,,AMS Public Transport Holdings Limited,,,,,,,,,,,Hong Kong,2013,"28, 28 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-02211,ANONYMOUS Mirage,,English,,Anonymous ; translated by Patrick Hanan,The Chinese University Press,978-962-996-581-5,,,$,350.00,,,,,,Hong Kong,2014,"xv, 371 p. ; 23 cm.",,
2014-01015,ANOTHER Hong Kong,,English,,edited by Simon Berry ... [et al.],Hong Kong Writers Circle,978-988-16858-3-4,,pbk.,$,120.00,978-988-16858-4-1,,e-book,$,,Hong Kong,2014,239 p. ; 21 cm.,,
2014-01189,ANXIAN YUAN CHINA HOLDINGS LIMITED Anxian Yuan China Holdings Limited interim report 2014,安賢園中國控股有限公司中期報告2014,English,,,Anxian Yuan China Holdings Limited,,,,,,,,,,,Hong Kong,2013,"36, 36 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2014-02272,ART map gallery guide 2014,藝術地圖,English,,"edited by Anthea Fan, Wan-jen",Art Map Limited,978-988-13299-0-5,,pbk.,$,60.00,,,,,,Hong Kong,2014,"102 p. : col. ill., col. maps ; 21 cm.",Text partially in Chinese,
2014-01174,ARTINI CHINA COMPANY LIMITED Artini China Company Limited interim report 2013-14,雅天妮中國有限公司中期報告2013-14,English,,,Artini China Company Limited,,,,,,,,,,,Hong Kong,2013,"28, 28 p. ; ill. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2014-02166,ASIA-PACIFIC design. No. 9,亞太設計年鑒,English,,,Sandu Publishing Company Limited,978-988-12634-2-1,,,,Unpriced,,,,,,Hong Kong,2013,"463 p. : col. ill., port ; 29 cm.",Text in Chinese and English,
2014-01408,"AU, Alex Tin-yung The common features in music in the extended common practice",,English,Au Tin-yung Alex,,Global Publication Company,978-988-12074-0-1,,,$,240.00,,,,,,Hong Kong,2013,"120 p. : charts, music scores ; 21 cm.",Includes bibliographical references,
2014-01800,AUTHORISED Hong Kong court of final appeal reports 2011. Vol. 14,,English,,edited by Abdul Azeem Ali,Thomson Reuters Hong Kong Limited,978-962-661-428-0,,,,Unpriced,,,,,,Hong Kong,2013,"lxi, 977 p. ; 25 cm.",Text partially in Chinese,
2014-01798,AUTHORISED Hong Kong law reports & digest 2012. Year book,,English,,edited by Abdul Azeem Ali,Thomson Reuters Hong Kong Limited,978-962-661-493-8,,,,Unpriced,,,,,,Hong Kong,2013,78 p. ; 25 cm.,Text partially in Chinese,
2014-01809,AUTHORISED Hong Kong law reports & digest 2013. Vol. 1,,English,,edited by Abdul Azeem Ali,Thomson Reuters Hong Kong Limited,978-962-661-595-9,,,,Unpriced,,,,,,Hong Kong,2013,"lxxx, 1262 p. ; 25 cm.",Text partially in Chinese,
2014-01799,AUTHORISED Hong Kong law reports & digest 2013. Vol. 2,,English,,edited by Abdul Azeem Ali,Thomson Reuters Hong Kong Limited,978-962-661-596-6,,,,Unpriced,,,,,,Hong Kong,2013,"lxxx, 1282 p. ; 25 cm.",Text partially in Chinese,
2014-01486,AV CONCEPT HOLDINGS LIMITED AV Concept Holdings Limited interim report 2013-2014,AV Concept Holdings Limited中期報告2013-2014,English,,,AV Concept Holdings Limited,,,,,,,,,,,Hong Kong,2013,"30, 30 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-00236,B.WING The secret of my dark circles,黑眼圈的秘密,English,b.wing,,Kubrick,978-988-15507-0-5,,,$,112.00,,,,,,Hong Kong,2013,unpaged : ill. (some col.) ; 21 cm.,Text in Chinese and English,
2014-00237,B.WING Twosome,,English,b.wing,,Kubrick,978-988-15507-9-8,,,$,112.00,,,,,,Hong Kong,2013,unpaged : col. ill. ; 21 cm.,Text in Chinese and English,
