,2743
Pearson Education Asia Limited,2342
東立香港中文版,1125
玉皇朝出版香港中文版,1039
Oxford University Press (China) Limited,915
Times Publishing (Hong Kong) Limited,794
文化傳信香港中文版,790
萬里機構.萬里書店,779
LexisNexis,639
新雅文化事業,602
現代教育研究社,588
Pearson Education Limited,582
時信出版(香港),571
培生教育出版亞洲,559
培生教育出版亞洲有限公司,553
天下出版(國際)香港中文版,552
教育出版社有限公司,524
青田教育中心,511
現代教育研究社有限公司,501
天下香港中文版,494
天地,468
牛津大學出版社(中國),464
Hong Kong Educational Publishing Company,456
Aristo Educational Press Limited,445
東立出版集團有限公司香港中文版,435
Educational Publishing House Limited,418
PPP,400
香港教育圖書,395
新雅文化事業有限公司,378
正文社香港中文版,355
天下出版(國際)有限公司香港中文版,350
牛津大學出版社(中國)有限公司第2版,349
香港教育圖書公司,342
牛津大學出版社(中國)有限公司,342
玉皇朝出版有限公司香港中文版,339
青森文化,332
三聯,324
小樹苗,324
Hong Kong University Press,319
Publishers Representatives Limited,319
中國藝術出版社,309
文化傳信有限公司香港中文版,308
中華書局(香港)有限公司,302
Pan Lloyds Publishers Limited,302
時信出版(香港)有限公司,301
Hong Kong Examinations and Assessment Authority,289
中國評論學術,270
三聯書店(香港)有限公司,255
商務,239
星河,231
正文社,227
明窗,226
一漫年,222
雅集,215
Education Bureau,213
中華書局,207
海濱,203
精英,203
天地圖書有限公司,199
新亞洲修訂版,197
小樹苗教育出版社有限公司,195
萬里機構.飲食天地,195
中國藝術家出版社,190
萬里機構.得利書局,188
Pilot Publishing Company Limited,185
世界,180
新亞洲,178
樂思教育出版有限公司,178
眾課堂,171
中國圖書,169
樂思教育,166
星島,166
商務印書館(香港)有限公司,165
北京圖書,165
日閱堂,163
超媒體,163
培生教育出版亞洲第二版,162
和平圖書,161
Alyssa Liang,160
Lord Education and Talent Development Company Limited,160
Active Minds Limited,159
萬里機構.飲食天地出版社,158
中國文化藝術出版社,157
皇冠,152
世紀文化,151
中華詩詞,148
Hong Kong Institute of Accredited Accounting Technicians Limited,140
童藝少兒文化,140
5,000 Hong Kong : Planning Department,140
中國圖書出版社有限公司,139
Pearson Education Australia Group Pty Limited,139
Classroom Publications Limited,137
教育第二版,136
木棉樹,136
突破,135
圓方,134
北京圖書出版社,133
正文社出版有限公司香港中文版,132
經濟日報,131
明窗出版社,129
Planning Department,129
Modern Educational Research Society, Limited,127
雅集出版社有限公司,126
課室教材,124
香港文藝出版社,122
心一堂,119
中文大學出版社,119
知出版,119
The Chinese University Press,118
壹出版,118
星河出版社,118
以勒基金,117
公教真理學會,116
精工,115
青馬文化事業,115
明報月刊,114
Pearson Education New Zealand Limited,112
一漫年出版有限公司,112
Luxe Asia Limited,112
天道書樓,112
中華詩詞出版社有限公司,111
中國科學文化,110
文化傳信珍藏彩色紀念版,108
世紀文化有限公司,108
Design Media Publishing Limited,107
華夏文化出版社,106
明報,106
匯智,106
香港文匯,105
CCH Hong Kong Limited,105
香港貿易發展局,105
洪波,104
Thomson Reuters Hong Kong Limited,104
PPP Company Limited,103
香港中和出版有限公司,103
花千樹,102
正文社出版有限公司,101
天窗,100
iLearners Publishing Limited,100
香港青年協會,99
青春文化事業,98
基督教文藝,97
基道,93
Jing Kung Educational Press,92
海濱圖書公司,92
Get Reading Right Limited,92
教育網絡有限公司,91
文化會社,91
香港新世紀,91
福音證主協會,91
國際福音證主協會,91
The Commercial Press (Hong Kong) Limited,90
新領域,90
紅投資,86
新雅優才教育,86
中國科學文化出版社,86
文化島,86
香港教育圖書公司第2版,85
Pi Publication Limited,85
才藝館,85
上書局,84
Education Bureau, Curriculum Development Institute, Native-speaking English Teacher Section,84
亮光文化,83
山邊,82
全人發展中心,82
香港青文香港中文版,82
Sandu Publishing Company Limited,81
Students - Kingdom Publishing Limited,81
知出版社,80
幼兒教育,80
嘉出版,80
青椒,80
日閱堂出版社,80
The Hong Kong Polytechnic University,79
香港大學饒宗頤學術館,79
青藍出版社,79
中國文化出版社,78
中國美術出版社,78
中國評論學術出版社有限公司,78
小小書坊,77
長城藝術出版社有限公司,77
中國文藝學術出版社有限公司,77
世界出版社,76
審計署,76
Cup Magazine Publishing Limited,76
香港基督教服務處,76
教育網絡,75
超媒體有限公司,75
Joint Publishing (Hong Kong) Company Limited,74
非凡出版,74
Click Publication Group Limited,73
Starlight Music International Limited,73
教育出版社有限公司第2版,72
新亞洲出版社,72
大華風采第三版,72
中國基督教播道會文字部,72
大華風采第二版,72
皇冠出版社(香港)有限公司,72
Audit Commission,71
浸信會出版社(國際),71
牛津大學出版社(中國)第3版,70
Timezone 8 Limited,69
Oxford University Press,69
辣椒,69
超媒體出版有限公司,69
天馬文化,68
香港聖經公會,67
Sweet & Maxwell Asia,67
Phoenix Publishing Limited,66
Forms Kitchen,66
藍天圖書,65
漢語聖經協會,65
天窗出版社有限公司,65
中國作家,64
Popular Learning,64
Rass Language,64
香港耀能協會,64
宣道,63
China Economic Review Publishing (Hong Kong) Limited,63
教育,63
天行教育,62
天苑文化,62
天下出版(國際)有限公司,62
教育局課程發展處個人、社會及人文教育組,62
東方日報督印,62
名人,61
香港新世紀出版有限公司,61
明思,60
青桐社文化事業,60
齡記,60
課室教材出版有限公司,59
Michael Neugebauer (Publishing) Limited,59
突破出版社,59
萬里機構.萬里書店香港中文版,59
中國新聞聯合,59
光大,58
三聯中文出版有限公司,58
The Hong Kong Federation of Youth Groups,58
國際新標準出版社,57
晶晶教育,57
青源出版社,57
Proverse Hong Kong,57
天下出版(國際),57
經濟日報出版社,56
現代教育研究社2010年版,56
Kubrick,56
教育出版社有限公司澳門版,56
藍出版,55
中國郵史,55
星島出版有限公司,55
一丁文化,55
Sun Ya Elite Education,54
博顥,54
香港大學出版社,54
Hong Kong Trade Development Council, Research Department,54
樂思教育最新版,54
明道社,54
Elephant Community Press Limited,53
博美,53
基督教文藝出版社有限公司,53
基督復臨安息日會華安聯合會,53
學友,53
跨版生活圖書,52
Language House Publishing Company,52
Hong Kong New Century Publication Company Limited,52
現代教育研究社有限公司修訂版,52
潤東出版社有限公司,52
導師,52
明報出版社有限公司,51
Education Bureau, Personal, Social and Humanities Education Section,51
Precise Publications Limited,51
Sendpoints Publishing Company Limited,51
壹出版有限公司,51
中國國際圖書,51
庄梓圖書有限公司,51
集思出版有限公司,51
學文出版社,51
課室教材最新修訂版,50
Artpower International Publish Company Limited,50
種籽,50
教育出版社有限公司第3版,50
郭良蕙新事業,50
道風書社,50
Canotta Publishing Company Limited,50
中國作家出版社,49
長河最新修訂版,49
文化傳信,49
思展兒童文化社,49
峰芸教育出版社有限公司,49
Hong Kong Trade Development Council,49
現代教育研究社修訂版,48
中國今日美術館,48
牛津大學出版社(中國)普通話版,48
學友社,48
生活書房,48
Hong Kong Joint-Us Press Limited,47
天道書樓有限公司,47
漁歌,46
Ling Kee Publishing Co., Ltd,46
MCCM Creations,46
Ling Kee Publishing Company Limited,46
Edipresse Hong Kong Limited,46
香港中國新聞,46
Gifted Child Educational Group Limited,45
明文,45
香港文學報社,45
宗教教育中心,45
銀河,45
Athens Education,45
漢語聖經協會有限公司,45
Star Publishing Limited,44
青馬文化事業出版有限公司,44
基道出版社,44
Rullingnet Corporation Limited,44
快樂書房,44
香港教育圖書公司第3版,44
青田教育中心第二版,44
中國國際文化,44
Junius Publications,44
香港中文大學香港亞太研究所,44
Michael Neugebauer Publishing Limited,43
新亞洲出版社有限公司,43
Newswood Limited,43
出版動力,43
星島日報,43
科華圖書,43
天行者,43
獲益,43
時代國際,43
創文發展,42
中國今日美術館出版社有限公司,42
青椒出版有限公司,42
遠東文化藝術交流中心,42
中國基督教播道會文字部修訂版,42
教育第三版,42
Kidz Education,42
文化傳信精裝珍藏版,42
香港中國旅遊,41
環球聖經公會,41
天行教育出版(香港)有限公司,41
Qin Jia Yuan Media Services Company Limited,41
新人才文化,41
Phinnie International Limited,41
中國美術,41
金石圖書貿易,41
道聲,41
匯智出版有限公司,41
香港經濟日報,40
齡記出版有限公司,40
中國科學藝術出版社,40
中外名流出版社,40
志蓮淨苑,40
五七學社,40
晨鐘書局,40
